group,item_id,stratum,court,year,gold,lexical,issue,passage
dictionary misled,526162-0,PLAIN,ca10,1989,DECIDED,UNRESOLVED,in the state courts by compliance with a state procedural rule for contemporaneous objections to jury instructions,"the claims relating to references to mug shots and “object focus” were preserved by Nieto. The Engle case is inapposite. There the issue was whether the petitioners could proceed with their federal habeas proceeding when they failed to raise and p [[reserve their constitutional issue]] in the state courts by compliance with a state procedural rule for contemporaneous objections to jury instructions. Id. at 124-125, 102 S.Ct. at 1570. Here the State relies on Engle to argue that Nieto failed to preserve the issues for federal habeas review by failing to assert contempo"
context fixed it,c4034180-0,CTRL_HOLD,ca5,2016,DECIDED,DECIDED,Pundt’s statutory-injury argument for the same reason we identified in our original opinion: a de facto injury is not alleged by reference to fiduciary misconduct under ERISA alone,"urt and did not press it in his opening brief to this court beyond making a passing reference to “historical authorities.” Spokeo thus gives us no occasion to revisit an issue that Pundt did not adequately raise and that Spokeo did not affect, and [[we reject]] Pundt’s statutory-injury argument for the same reason we identified in our original opinion: a de facto injury is not alleged by reference to fiduciary misconduct under ERISA alone. See David v. Alphin, 704 F.3d 327, 336-37 (4th Cir. 2013) (rejecting trust-law argument and concluding th"
context fixed it,c186398-1,CTRL_HOLD,cadc,2005,DECIDED,DECIDED,the district court's grant of summary judgment to the school district,"""on the decision of the IEP team that Minor no longer needs or is not benefitting from this compensatory education."" Because we agree that the hearing officer's mechanical calculation merits no deference and that the IEP team delegation violates the statute, [[we reverse]] the district court's grant of summary judgment to the school district. We reject, however, appellants' equally mechanical hour-per-hour calculation and instead adopt a qualitative standard: compensatory awards should aim to place disabled children in the same position they would have occupied but f"
context fixed it,c5121573-1,CTRL_HOLD,ca1,2021,DECIDED,DECIDED,the Title III Court’s dismissal of the case,"rsy of sufficient immediacy now that the Order is no more. Thus, this ground for overcoming mootness fails as well. - 17 - IV. The Title III Court correctly held that the plaintiffs failed to show the existence of a justiciable case and controversy. [[We thus affirm]] the Title III Court’s dismissal of the case for lack of subject matter jurisdiction. - 18 -"
context fixed it,391083-1,H2,ca5,1981,DECIDED,UNRESOLVED,"of creditor liability, that claim, along with the claim of assignee liability, was necessarily submitted for judgment on the facts as they were then established","dgment for the Bank. 6 Plaintiffs argue that summary judgment was sought on a distinct theory of liability, that of assignee liability, reserving by implication the issue of the Bank's liability as an original creditor. The Bank argues that, by not explicitly [[reserving the issue]] of creditor liability, that claim, along with the claim of assignee liability, was necessarily submitted for judgment on the facts as they were then established. Both parties look to the letter in support of their position, although both sides find it necessary to add words to the letter in order t"
context fixed it,2708641-0,PLAIN,ca7,2014,DECIDED,UNRESOLVED,whether he may proceed directly under § 1981,"981 that could not have occurred before the Civil Rights Act of 1991 amended that statute. Thus, one might argue that § 1658’s four‐year statute of limitations should apply regardless. However, Campbell has disavowed any reliance on § 1983; therefore, we [[express no opinion]] on that issue, and we turn to whether he may proceed directly under § 1981. The statute now codified at 42 U.S.C. § 1981 evolved from § 1 of the Civil Rights Act of 1866. Jones, 541 U.S. at 372. “It was amended in minor respects in 1870 and recodified in 1874, but its basic coverage did not c"
context fixed it,r553177-0,CTRL_RAND,ca2,1990,DECIDED,DECIDED,whether section saves the Diffley’s cause of action,"ical note). *425 In short, we conclude that New York courts would reject Allied-Signal’s argument that the Toxic Tort Revival Statute precludes any further extension of the limitations period under § 205(a) in this case. We therefore must determine [[whether]] that section saves the Diffley’s cause of action. B. Section 205(a) Saves This Action. The Diffleys’ action fits squarely into the requirements of § 205(a), quoted above. First, the Diffleys’ initial action against Bendix was timely commenced. It was brought on July 15, 1987, w"
context fixed it,c78053-0,CTRL_HOLD,ca11,2008,DECIDED,DECIDED,our prior Opinion and substitute the following revised Opinion in its place,"the Appellee's timely petition for rehearing en banc requesting that we reconsider our previous Opinion dated June 26, 2007, published at 490 F.3d 820, reversing the judgment of the District Court and remanding the case. Upon reconsideration of that Opinion, [[we vacate]] our prior Opinion and substitute the following revised Opinion in its place. The issue before the Court is whether the District Court erred when it refused to vacate a Florida state court's order enjoining Appellant Tampa Sports Authority's (the ""Authority"") policy of conducting patdown searches"
context fixed it,r145835-0,CTRL_RAND,scotus,2008,DECIDED,DECIDED,this electoral system violates the First Amendment rights of prospective party candidates,"r Respondents. Justice SCALIA delivered the opinion of the Court. The State of New York requires that political parties select their nominees for Supreme Court Justice at a convention of delegates chosen by party members in a primary election. We consider [[whether]] this electoral system violates the First Amendment rights of prospective party candidates. I A The Supreme Court of New York is the State's trial court of general jurisdiction, with an Appellate Division that hears appeals from certain lower courts. See N.Y. Const., Art. VI, §§ 7, 8. Un"
context fixed it,c4504072-1,CTRL_HOLD,ca11,2020,DECIDED,DECIDED,Plaintiff’s argument that our decision in Willis is inapplicable to this case,"function of his job. While Plaintiff worked on the NOC team, Young had allowed Plaintiff to take short breaks with positive results. Mason also testified that he generally permits his customer-service employees to take breaks when they get frustrated. 4 [[We reject]] Plaintiff’s argument that our decision in Willis is inapplicable to this case: Willis is not so narrow to apply only in circumstances where the employee made no specific request for an accommodation. 11 Case: 19-10441 Date Filed: 02/03/2020 Page: 12 of 15 The district court determined that Pla"
context fixed it,4283538-0,H1,ca11,2018,DECIDED,UNRESOLVED,"the claimant’s] third argument, that the ALJ should not have relied on the testimony of a vocational expert, because he did not raise it before the administrative agency or the district court","orm light work. 1 1 Adderly has waived his argument that the ALJ should not have relied on a vocational expert’s testimony because he did not properly raise that argument in the district court. See Kelley v. Apfel, 185 F.3d 1211, 1215 (11th Cir. 1999) (“We [[do not reach]] [the claimant’s] third argument, that the ALJ should not have relied on the testimony of a vocational expert, because he did not raise it before the administrative agency or the district court.”); In re Pan Am. World Airways, Inc., Maternity Leave Practices & Flight Attendant Weight Program Litig.,"
context fixed it,9960726-0,H1,ca4,2024,DECIDED,UNRESOLVED,"in a magistrate judge’s report, a party must object to the finding","filed timely objections to the magistrate judge’s recommendation, his objections were not specific to the particularized legal recommendations made by the magistrate judge, so appellate review is foreclosed. See Martin, 858 F.3d at 245 (holding that, “to p [[reserve for appeal an issue]] in a magistrate judge’s report, a party must object to the finding or recommendation on that issue with sufficient specificity so as reasonably to alert the district court of the true ground for the objection” (internal quotation marks omitted)). Accordingly, we affirm the judgment of the dis"
context fixed it,c4880145-0,CTRL_HOLD,ca6,2021,DECIDED,DECIDED,in finding that there are “extraordinary and compelling reasons” for Hunter’s release,"y erroneous findings of fact, uses an erroneous legal standard, or improperly applies the law.’” Elias, 984 F.3d at 520 (quoting United States v. Flowers, 963 F.3d 492, 497 (6th Cir. 2020)). The government only challenges the first requirement, arguing that [[the district court erred]] in finding that there are “extraordinary and compelling reasons” for Hunter’s release. Congress did not define what constitutes an “extraordinary and compelling reason,” except to state that “[r]ehabilitation of the defendant alone shall not be considered an extraordinary and compelling No. 21-12"
context fixed it,c75268-0,CTRL_HOLD,ca11,2001,DECIDED,DECIDED,"whether the uncorrected, allegedly perjurious","tional instance of alleged perjury would have been of minimal significance in the jury’s assessment of Williams’ credibility, and certainly not enough to raise the reasonable possibility of a different verdict. See Hays, 85 F.3d at 1498. Therefore, because [[we find]] that the uncorrected, allegedly perjurious statements do not “undermine confidence in the verdict,” Strickler, 527 U.S. at 290, 119 S. Ct. at 1952 (quoting Kyles, 514 U.S. at 435, 115 S. Ct. at 1566), we 9 reject Dickerson’s Giglio challenge. Cf. Strickler. 527 U.S. at 289-92, 119 S. Ct. at 1"
context fixed it,c182312-0,CTRL_HOLD,ca11,2011,DECIDED,DECIDED,whether the 1986 case resulted,"74 (citation and quotation marks omitted). III. In this case, the state court accepted Mejia’s plea, made a “finding of guilt,” and imposed a sentence of time served. This satisfies § 1101(a)(48)’s definition of a formal judgment of guilt. Accordingly, [[we conclude]] that the 1986 case resulted in a conviction for immigration purposes. The district court properly denied the motion for declaratory judgment. AFFIRMED. 10"
context fixed it,r4664546-0,CTRL_RAND,ca11,2021,DECIDED,DECIDED,"MCP’s $20,000 offer of judgment—made early","post-trial motion for equitable relief and her motion for attorney’s fees. On appeal, we vacated in part the grant of equitable relief. Having modified the equitable relief, we also remanded the award of attorney’s fees for the district court to determine [[whether]] MCP’s $20,000 offer of judgment—made early in the litigation—was more favorable than the remaining relief. If so, Furcron would not be entitled to attorney’s fees. The district court again awarded attorney’s fees, holding that Furcron had obtained an outcome that was more favorable than the off"
context fixed it,286579-1,H2,ca1,1969,DECIDED,UNRESOLVED,"whether it was error to submit 'specific questions of fact' to be answered by a jury in a criminal case, held that the court's submission in that particular instance over the defendants' objection had","S.Ct. 874, 91 L.Ed. 1145; Cramer v. United States, 1945, 325 U.S. 1, 36 n. 45, 65 S.Ct. 918, 89 L.Ed. 1441 41A Since the release of this opinion our attention has been called to the case of Commonwealth v. Bartholomew, 1950, 326 Mass. 218. There the court, [[without deciding]] whether it was error to submit 'specific questions of fact' to be answered by a jury in a criminal case, held that the court's submission in that particular instance over the defendants' objection had not been prejudicial. In passing we will say that this was a finding more easily reached there tha"
context fixed it,c7857473-0,CTRL_HOLD,cadc,1988,DECIDED,DECIDED,"whether the provisions of the Longshoremen's and Harbor Workers’ Compensation Act, 33 U.S.C. § 901 et seq","lla challenges a decision of the Benefits Review Board of the United States Department of Labor, which affirmed the decision of an Administrative Law Judge declining to modify the settlement of her workers’ compensation claim, to which she had earlier agreed. [[We conclude]] that the provisions of the Longshoremen's and Harbor Workers’ Compensation Act, 33 U.S.C. § 901 et seq. (1976), in effect at the time of the settlement provide no basis upon which to disturb the agreement. We therefore affirm the Board’s decision. I. Background In 1978, petitioner suffered a ba"
context fixed it,526162-0,PLAIN,ca10,1989,DECIDED,UNRESOLVED,in the state courts by compliance with a state procedural rule for contemporaneous objections to jury instructions,"the claims relating to references to mug shots and “object focus” were preserved by Nieto. The Engle case is inapposite. There the issue was whether the petitioners could proceed with their federal habeas proceeding when they failed to raise and p [[reserve their constitutional issue]] in the state courts by compliance with a state procedural rule for contemporaneous objections to jury instructions. Id. at 124-125, 102 S.Ct. at 1570. Here the State relies on Engle to argue that Nieto failed to preserve the issues for federal habeas review by failing to assert contempo"
context broke it,204313-0,H1,ca9,2011,UNRESOLVED,UNRESOLVED,whether Levi Strauss also had two factors acquired distinctiveness and degree of recognitionthat weighed in its favor,"relevant factors convinces us that application of the incorrect standard affected its dilution determination. According to the district court, degree of similarity was only one of three factors that weighed in Abercrombie's favor. The district court assumed, [[without deciding]] , that Levi Strauss also had two factors acquired distinctiveness and degree of recognitionthat weighed in its favor. Thus, application of the correct, less-demanding standard could have tipped the balance in favor of Levi Strauss. The degree of similarity between the Ruehl and Arcuate marks may b"
context broke it,c9423471-0,CTRL_HOLD,scotus,1967,DECIDED,DECIDED,Congress was much more concerned with nonviolent economic coercion than with threats of physical violence,"h of the legislative history. It is clear that §8 (b)(1) (A) was intended to protect union as well as nonunion employees from coercive tactics of unions, and such protection would hardly be provided if the section applied only to organizational tactics. Also, [[it is clear that]] Congress was much more concerned with nonviolent economic coercion than with threats of physical violence. As Senator Ball, who introduced the section, put it: “But we are less concerned here with actual acts of violence than we are with threats . . . .” 12 And Senator Taft noted: “There are plenty"
context broke it,9402795-0,PLAIN,ca4,2023,UNRESOLVED,UNRESOLVED,"whether the Union is right because, as described above, the CBA required the arbitrator to make the reasonable basis determination","ment. In vacating the arbitration award, the court held that because arbitration is a creature of contract, parties have “a right to arbitration according to the terms for which it contracted.” Id. at 261. defers to the arbitrator’s reasoning.”). But we [[need not decide]] if the Union is right because, as described above, the CBA required the arbitrator to make the reasonable basis determination. 11 USCA4 Appeal: 22-1268 Doc: 34 Filed: 06/15/2023 Pg: 12 of 12 That makes sense. Our deferential standard for determining whether an arbitrator erred substantivel"
context broke it,489301-1,H1,ca6,1987,UNRESOLVED,UNRESOLVED,"the degree of negligence, if any at all, that must be attributable to ""any person or persons [who] ... alter, deface, destroy, move, injure, ... or in any manner whatever impair the usefulness of ...""","controversy is not joined by the facts of this appeal since the district court assessed 50% of the liability proximately contributing to the damage of the upstream lift gate of the Wilson Lock to both Chotin and the government. Accordingly, this en banc court [[does not consider or decide]] the degree of negligence, if any at all, that must be attributable to ""any person or persons [who] ... alter, deface, destroy, move, injure, ... or in any manner whatever impair the usefulness of ..."" any improvement made by the United States to any of its navigable waters in violation of Secs. 408"
context broke it,c4172597-1,CTRL_HOLD,ca9,2017,DECIDED,DECIDED,whether plaintiffs’ claim that the District committed a procedural violation of the IDEA by failing to adequately document its offer of TVI services isn’t waived.3,"nth, the District’s purported secret amendment of 240 minutes per week, and the District’s actual offer of 300 minutes per week as presented at the hearing. The District’s presentation of evidence on this point vitiated any waiver on M.N.’s part. Accordingly, [[we hold]] that plaintiffs’ claim that the District committed a procedural violation of the IDEA by failing to adequately document its offer of TVI services isn’t waived.3 2. The IEP is a “formal, written offer [that] creates a clear record that will do much to eliminate troublesome factual disputes . . . a"
context broke it,4348868-0,H2,cafc,2018,UNRESOLVED,UNRESOLVED,"whether inter partes review procedures apply retroactively to patents that were filed before Congress enacted the America Invents Act (""AIA",", No. IPR2016-00332 (P.T.A.B. June 22, 2017) ("" 332 Board Decision ""). Because VirnetX is collaterally estopped from relitigating the threshold issue of whether prior art reference RFC 2401 1 was a printed publication and because VirnetX did not p [[reserve the only remaining issue]] of whether inter partes review procedures apply retroactively to patents that were filed before Congress enacted the America Invents Act (""AIA""), we affirm. I. PROCEDURAL HISTORY In December 2015, Apple filed two petitions for inter partes review of the '696 patent. In the first petitio"
context broke it,547499-1,H2,ca5,1990,UNRESOLVED,UNRESOLVED,whether subject matter jurisdiction dispositive,"ate the judgment of the trial court, with directions that it remand the case to the state courts. See Warren G. Kleban Eng’g Corp. v. Caldwell, 490 F.2d 800, 803 n. 2 (5th Cir.1974). Finding the issue of subject matter jurisdiction dispositive, we [[do not reach]] Mr. Ziegler’s contention that the trial court erred by refusing to consider his motion for remand. We do note, however, that considering a motion to remand is both procedurally and substantively different from inquiring into the existence of subject matter jurisdiction. Procedurally, a court may co"
context broke it,9554892-0,PLAIN,ca8,2023,UNRESOLVED,UNRESOLVED,whether Brown was seized within the meaning of the Fourth Amendment. -3- B,in granting summary judgment. See id. at 776−77 (holding that officers acted reasonably where they shot the plaintiff at the end of a high-speed chase and where the plaintiff evaded and posed “a grave public safety risk” at the time of the shooting). 2 We [[assume without deciding]] that Brown was seized within the meaning of the Fourth Amendment. -3- B. We turn now to the estate’s state-created danger claim. “We have held the Due Process Clause imposes a duty on state actors to protect or care for citizens . . . when the state affirmatively places a particular individual
context broke it,c772670-0,CTRL_HOLD,ca2,2001,DECIDED,DECIDED,"Cox’s sentence and remand to the District Court for (1) further fact-finding concerning the precise circumstances surrounding Cox’s guilty plea to the 1999 state drug charges, including the role of co","ineffective assistance by permitting him to plead guilty to state court charges shortly after he had entered his federal guilty plea, but before his federal sentencing, given the federal sentencing consequences of doing so. For the reasons that follow, [[we vacate]] Cox’s sentence and remand to the District Court for (1) further fact-finding concerning the precise circumstances surrounding Cox’s guilty plea to the 1999 state drug charges, including the role of counsel in advising him to do so, and the subsequent dismissal of that conviction by the state court,"
context broke it,c802371-1,CTRL_HOLD,ca5,2012,DECIDED,DECIDED,held that the second ALJ’s finding that Z.N.F. failed to satisfy Listing 112.05(D) is supported by substantial evidence,"functioning was actually within the average range” and “[Z.N.F.] appears capable of understanding information and has at least borderline abilities.” Id. The record also shows that Z.N.F. responded age-appropriately to questions posed by the second ALJ. [[The district court correctly]] held that the second ALJ’s finding that Z.N.F. failed to satisfy Listing 112.05(D) is supported by substantial evidence. Jh Functional Equivalence If the child’s impairment does not medically meet Listing 112.05(D), the ALJ will still, pursuant to 20 C.F.R. § 416.924(a)-(d), perform a"
context broke it,202878-0,H2,ca1,2007,UNRESOLVED,UNRESOLVED,"of the exemption, however, because the sale proceeds are not protected from a restitution order issued under the MVRA whether or not the exemption applies. [5","nce itself to the proceeds upon sale is unresolved *107 in Massachusetts case law. [3] That issue, in turn, may depend upon whether the sale  which occurred two days before a scheduled foreclosure proceeding  would be deemed voluntary or involuntary. [4] We [[need not explore the reach]] of the exemption, however, because the sale proceeds are not protected from a restitution order issued under the MVRA whether or not the exemption applies. [5] The MVRA specifically provides: The United States may enforce a judgment imposing a fine in accordance with the practices and procedur"
context broke it,623899-0,PLAIN,ca9,2012,UNRESOLVED,UNRESOLVED,whether Baylis exhausted his claims,"provided by 9th Cir. R. 36-3. ** The panel unanimously concludes this case is suitable for decision without oral argument. See Fed. R. App. P. 34(a)(2). counsel of his choosing. We have jurisdiction under 28 U.S.C. §§ 1291 and 2253, and we affirm. 1. We [[assume without deciding]] that Baylis exhausted his claims and that his arguments are not waived. See 28 U.S.C. § 2254(b)(2). 2. The state court’s decision to deny Baylis’ motion for substitution of counsel was neither contrary to nor involved an unreasonable application of clearly established federal law. See 28 U.S.C"
context broke it,c432099-0,CTRL_HOLD,ca11,1984,DECIDED,DECIDED,whether the evidence was sufficient to convict Cannington and Stankowitz on each challenged count,"II for conspiring to possess with intent to distribute and distributing marijuana. Appellant Stankowitz challenges the sufficiency of the evidence supporting his conviction on each of the four counts. Upon a thorough review of the record as to each appellant, [[we find]] that the evidence was sufficient to convict Cannington and Stankowitz on each challenged count. A. Cannington Cannington concedes that the evidence was sufficient to support his convictions for conspiring to import and importing marijuana. He. maintains, however, that the only eviden"
context broke it,228516-0,H2,ca5,1952,UNRESOLVED,UNRESOLVED,whether this search was invalid under federal1 law,"nd that there was no showing that federal officers had any prior knowledge of this arrest or seizure, or any understanding or agreement with reference to the same; and no showing that there was any irregularity in any other arrest or seizure. Conceding, [[without deciding]] , that this search was invalid under federal1 law, we find no merit in this appeal, because the city officers, in making the search, were acting solely under state law. Texas laws prohibit the traffic in marihuana, the viola^ tion of which is a felony, and the minimum penalty for which is two years"
context broke it,c2976911-0,CTRL_HOLD,ca6,2008,DECIDED,DECIDED,the district court’s ruling that Region VII is subject to suit under § 1983,"J.A. at 1369 (Op. at 5). Hughes now appeals as to both her First Amendment and FLSA claims, and Defendants cross-appeal the district court’s ruling that Region VII is a state actor and subject to suit under 42 U.S.C. § 1983. For the reasons discussed below, [[we AFFIRM]] the district court’s ruling that Region VII is subject to suit under § 1983. Because we conclude that Hughes’s speech did relate to a matter of public concern and that Hughes’s FLSA claims were timely, we REVERSE the district court’s grant of summary judgment as to her First Amendment claim and the"
context broke it,8961628-0,H1,cafc,1988,UNRESOLVED,UNRESOLVED,whether latter analysis,"ra note 1. For convenience, we refer only to Calco in this portion of the opinion. . The district court found literal infringement and infringement under the doctrine of equivalents. In view of our agreement with its findings of literal infringement, we [[need not reach]] that latter analysis. . Direct infringement is a prerequisite to finding induced infringement. See, e.g., Met-Coil Sys. Corp. v. Komers Unlimited, Inc., 803 F.2d 684, 687, 231 USPQ 474, 477 (Fed.Cir.1986). . Federal statutes provide very narrow grounds for relief from unfair competition"
context broke it,3064168-1,PLAIN,ca11,2009,UNRESOLVED,UNRESOLVED,"what amount of force is reasonable when an officer is aware that an arrestee is particularly susceptible to injury; however, we have no choice but to conclude that the force was reasonable where an of","o was seriously injured by an otherwise de minimis use of force, Williams was — miraculously — not harmed by the deputies’ use of force in restraining her. Accordingly, the exception suggested by our dicta in Rodriguez is not applicable in this case. We [[need not decide]] what amount of force is reasonable when an officer is aware that an arrestee is particularly susceptible to injury; however, we have no choice but to conclude that the force was reasonable where an officer causes no injuries in the course of effecting a lawful arrest, despite the fact that the arre"
context broke it,1019880-0,PLAIN,ca4,2006,UNRESOLVED,UNRESOLVED,whether qualified immunity discussed by the district court,"years before his termination) and suggested the K.-9 program in 2002 (one year before his termination). These events are simply too far removed from his termination to raise a genuine issue of material fact concerning causation. 5 . We therefore [[need not reach]] the issue of qualified immunity discussed by the district court. 6 . See Johnson v. Hugo’s Skateway, 974 F.2d 1408, 1416 n. 7 (4th Cir.1992) (a federal court is required to apply state law to pendent state claims brought with § 1983 claims). 7 . As the district court"
context broke it,1388013-2,PLAIN,cafc,2009,UNRESOLVED,UNRESOLVED,whether the USPTO may impose a limit on the number of claims an applicant can pursue because we do not find that the ESD requirement creates any such limit,"allowed reasonable latitude in stating their claims in regard to number and phraseology employed. The right of applicants to freedom of choice in selecting phraseology which truly points out and defines their inventions should not be abridged.""). However, we [[need not decide]] whether the USPTO may impose a limit on the number of claims an applicant can pursue because we do not find that the ESD requirement creates any such limit. Rather, it simply requires that an ESD be submitted if more than five independent or twenty-five total claims are included in certain sets of"
context broke it,2975900-0,PLAIN,ca6,2007,UNRESOLVED,UNRESOLVED,"for present purposes, it suffices to say that the two cases do not require courts to allow juries to second guess those decisions or decide them in the first instance","the resolution of disputed facts upon which the voluntariness issue may depend.” Id. at 391. Whether Haynes and Jackson still allow a jury to consider factual issues bearing on constitutional questions after the judge has ruled on the question is a matter we [[need not decide]] ; for present purposes, it suffices to say that the two cases do not require courts to allow juries to second guess those decisions or decide them in the first instance. It is worth emphasizing the reach of Stuart’s rule: He is not saying that courts may present juries with factual questions bearin"
context broke it,10787320-0,PLAIN,ca6,2025,UNRESOLVED,UNRESOLVED,whether its refusal to delay trial also constituted a constitutional violation,"ad committed the charged crime. By contrast, the evidence in Chandler’s case concerned the credibility of the accuser, and there is no precise 9 Because Chandler’s rights were violated by the trial court’s exclusion of Chandler’s witnesses and evidence, we [[do not decide]] whether its refusal to delay trial also constituted a constitutional violation. No. 23-1270 Chandler v. Brown Page 20 Supreme Court precedent holding that “the right to present a defense is violated if witnesses are precluded from testifying about an accuser’s past conduct consistent with a comm"
context broke it,1023355-0,H2,ca4,2007,UNRESOLVED,UNRESOLVED,"whether Arroyo-Benitez properly waived his right to have a grand jury amend the indictment, however, because Arroyo-Benitez at a minimum forfeited his Fifth Amendment claim by failing to object to the","“the grand jury right can be waived.” United States v. Cotton, 535 U.S. 625, 630, 122 S.Ct. 1781, 152 L.Ed.2d 860 (2002) (citing Fed. R.Crim. Proc. 7(b); Smith v. United States, 360 U.S. 1, 6, 79 S.Ct. 991, 3 L.Ed.2d 1041 (1959)). 1 We [[need not here decide]] whether Arroyo-Benitez properly waived his right to have a grand jury amend the indictment, however, because Arroyo-Benitez at a minimum forfeited his Fifth Amendment claim by failing to object to the amended indictment, and so must show plain error, which he fails to do. See United States v. Ol"
