group,item_id,stratum,court,year,gold,lexical,issue,passage
context fixed it,4283538-0,H1,ca11,2018,DECIDED,UNRESOLVED,"the claimant’s] third argument, that the ALJ should not have relied on the testimony of a vocational expert, because he did not raise it before the administrative agency or the district court","orm light work. 1 1 Adderly has waived his argument that the ALJ should not have relied on a vocational expert’s testimony because he did not properly raise that argument in the district court. See Kelley v. Apfel, 185 F.3d 1211, 1215 (11th Cir. 1999) (“We [[do not reach]] [the claimant’s] third argument, that the ALJ should not have relied on the testimony of a vocational expert, because he did not raise it before the administrative agency or the district court.”); In re Pan Am. World Airways, Inc., Maternity Leave Practices & Flight Attendant Weight Program Litig.,"
context fixed it,4675313-0,H2,ca11,2021,DECIDED,UNRESOLVED,whether Winn-Dixie’s website is a public,"nch trial, the district court entered judgment in favor of Gil, finding that Winn-Dixie had violated Gil’s rights under Title III of the ADA. Gil v. Winn-Dixie Stores, Inc., 257 F. Supp. 3d 1340 (S.D. Fla. 2017). Specifically, the court noted again that it [[need not decide]] whether Winn-Dixie’s website is a public accommodation “in and of itself,” because the website is “heavily integrated” with Winn-Dixie’s physical stores—so much so that it “operates as a gateway to the 5 All of Gil’s pleadings leading up to trial focused solely on his inability to access the pr"
context fixed it,r4664546-0,CTRL_RAND,ca11,2021,DECIDED,DECIDED,"MCP’s $20,000 offer of judgment—made early","post-trial motion for equitable relief and her motion for attorney’s fees. On appeal, we vacated in part the grant of equitable relief. Having modified the equitable relief, we also remanded the award of attorney’s fees for the district court to determine [[whether]] MCP’s $20,000 offer of judgment—made early in the litigation—was more favorable than the remaining relief. If so, Furcron would not be entitled to attorney’s fees. The district court again awarded attorney’s fees, holding that Furcron had obtained an outcome that was more favorable than the off"
context fixed it,r11172532-0,CTRL_RAND,ca6,2025,DECIDED,DECIDED,"those allegations moved Bozzo’s claims across the line from possible to plausible, thereby surviving dismissal","ting Eng’rs’ Loc. 324 Fringe Benefit Funds v. Rieth-Riley Constr. Co., 43 F.4th 617, 621 (6th Cir. 2022). We take as true Bozzo’s well-pleaded factual allegations as well as any reasonable inferences derived from those allegations. Having done so, we then ask [[whether]] those allegations moved Bozzo’s claims across the line from possible to plausible, thereby surviving dismissal. Forman v. TriHealth, Inc., 40 F.4th 443, 448 (6th Cir. 2022) (quoting Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007)). A. Start with the threshold statute of limitations question."
context fixed it,438815-0,H1,ca5,1984,UNRESOLVED,UNRESOLVED,"whether the stipulation required the district court to award the full $7,500 fee amount to Mrs","ng party. Id. at 1288. This statement was dictum, however, as the court in Adams affirmed the district court's denial of attorneys' fees. The test for determining prevailing party status was not at issue 13 Because of our resolution of this issue, we [[need not decide]] whether the stipulation required the district court to award the full $7,500 fee amount to Mrs. Uviedo or whether the court should rather have apportioned the award according to Hensley. Steves does not challenge the amply supported determination of the magistrate that Steves is not entitled to att"
context fixed it,391083-1,H2,ca5,1981,DECIDED,UNRESOLVED,"of creditor liability, that claim, along with the claim of assignee liability, was necessarily submitted for judgment on the facts as they were then established","dgment for the Bank. 6 Plaintiffs argue that summary judgment was sought on a distinct theory of liability, that of assignee liability, reserving by implication the issue of the Bank's liability as an original creditor. The Bank argues that, by not explicitly [[reserving the issue]] of creditor liability, that claim, along with the claim of assignee liability, was necessarily submitted for judgment on the facts as they were then established. Both parties look to the letter in support of their position, although both sides find it necessary to add words to the letter in order t"
context fixed it,547499-1,H2,ca5,1990,UNRESOLVED,UNRESOLVED,whether subject matter jurisdiction dispositive,"ate the judgment of the trial court, with directions that it remand the case to the state courts. See Warren G. Kleban Eng’g Corp. v. Caldwell, 490 F.2d 800, 803 n. 2 (5th Cir.1974). Finding the issue of subject matter jurisdiction dispositive, we [[do not reach]] Mr. Ziegler’s contention that the trial court erred by refusing to consider his motion for remand. We do note, however, that considering a motion to remand is both procedurally and substantively different from inquiring into the existence of subject matter jurisdiction. Procedurally, a court may co"
context fixed it,3178413-2,H1,ca5,2016,UNRESOLVED,UNRESOLVED,whether on remand the case should be assigned to a new judge,"gh Aguirre-Alva is not ""controlling precedent,” it “may be [cited as] persuasive authority.” Ballard v. Burton, 444 F.3d 391, 401 n. 7 (5th Cir.2006) (citing 5th Cir. R. 47.5.4). 6 . Because we affirm the district court’s sentence, we [[need not reach]] Lorenzo-Zepeta’s second issue on appeal—whether on remand the case should be assigned to a new judge."
context fixed it,c8409454-1,CTRL_HOLD,ca5,2005,DECIDED,DECIDED,"in dismissing their complaint for want of standing under ERISA § 502(a)(2), which confers standing on plan participants to bring private causes of action to seek “appropriate relief’ under ERISA § 409","e only other references the complaint makes to Towers Perrin’s status are conclusional allegations that it acted as a fiduciary. 7 Such allegations are insuffi-dent to allow this daim to survive a rule 12(b)(6) motion to dismiss. 8 IV. Plaintiffs contend [[the district court erred]] in dismissing their complaint for want of standing under ERISA § 502(a)(2), which confers standing on plan participants to bring private causes of action to seek “appropriate relief’ under ERISA § 409. That section subjects plan fiduciaries to liability for breaches of duty, 9 providing that a fidu"
context fixed it,668213-0,H2,cadc,1994,UNRESOLVED,UNRESOLVED,whether the deed of trust is in default as to the payment of interest,"Garage property. The rentals were turned over to O. Roy Chalk on a $7,000,000.00 deed of trust on the garage property (Claire Chalk, trustee), which deed of trust Mr. Chalk alleges is in default as to the payment of interest. 2 For purposes of this opinion we [[assume without deciding]] that the deed of trust is in default as to the payment of interest. The deed of trust was part of a loan and payback arrangement between O. Roy Chalk and Transit in which contributions were made to Transit by Mr. Chalk, chairman of Transit, when Transit was facing insolvency due primarily to an upc"
context broke it,204313-0,H1,ca9,2011,UNRESOLVED,UNRESOLVED,whether Levi Strauss also had two factors acquired distinctiveness and degree of recognitionthat weighed in its favor,"relevant factors convinces us that application of the incorrect standard affected its dilution determination. According to the district court, degree of similarity was only one of three factors that weighed in Abercrombie's favor. The district court assumed, [[without deciding]] , that Levi Strauss also had two factors acquired distinctiveness and degree of recognitionthat weighed in its favor. Thus, application of the correct, less-demanding standard could have tipped the balance in favor of Levi Strauss. The degree of similarity between the Ruehl and Arcuate marks may b"
context broke it,489301-1,H1,ca6,1987,UNRESOLVED,UNRESOLVED,"the degree of negligence, if any at all, that must be attributable to ""any person or persons [who] ... alter, deface, destroy, move, injure, ... or in any manner whatever impair the usefulness of ...""","controversy is not joined by the facts of this appeal since the district court assessed 50% of the liability proximately contributing to the damage of the upstream lift gate of the Wilson Lock to both Chotin and the government. Accordingly, this en banc court [[does not consider or decide]] the degree of negligence, if any at all, that must be attributable to ""any person or persons [who] ... alter, deface, destroy, move, injure, ... or in any manner whatever impair the usefulness of ..."" any improvement made by the United States to any of its navigable waters in violation of Secs. 408"
context broke it,8408247-0,H1,ca9,2003,UNRESOLVED,UNRESOLVED,"two further arguments raised by EPA: first, that municipalities do not receive full First Amendment protections, under Muir v","erators of small MS4s may avoid stormwater regulation entirely by electing not to discharge stormwa-ter into federal waters in the first place. In light of our holding with regard to the Alternative Permit option, we do not consider these arguments. .We [[decline to address]] two further arguments raised by EPA: first, that municipalities do not receive full First Amendment protections, under Muir v. Alabama Educational Television Commission, 688 F.2d 1033, 1038 n. 12 (5th Cir.1982) (en banc) (""Government expression, being unprotected by the First Amendment, may be subj"
context broke it,6930225-0,PLAIN,ca7,1994,UNRESOLVED,UNRESOLVED,whether Article III of the Constitution permits a federal court to entertain a qui tam suit brought by someone whose only stake in the suit is the bounty,"81 is a “qui tam” or, less politely, a bounty hunter’s statute: it authorizes any person to sue to declare an Indian contract void and if he succeeds to be rewarded with half the money that the contractor had received under the contract. There is a question, [[unnecessary to decide]] in this case, whether Article III of the Constitution permits a federal court to entertain a qui tam suit brought by someone whose only stake in the suit is the bounty. It is one thing for Congress to offer bounties to law enforcers; that is little different from having salaried police and prosecut"
context broke it,c772670-0,CTRL_HOLD,ca2,2001,DECIDED,DECIDED,"Cox’s sentence and remand to the District Court for (1) further fact-finding concerning the precise circumstances surrounding Cox’s guilty plea to the 1999 state drug charges, including the role of co","ineffective assistance by permitting him to plead guilty to state court charges shortly after he had entered his federal guilty plea, but before his federal sentencing, given the federal sentencing consequences of doing so. For the reasons that follow, [[we vacate]] Cox’s sentence and remand to the District Court for (1) further fact-finding concerning the precise circumstances surrounding Cox’s guilty plea to the 1999 state drug charges, including the role of counsel in advising him to do so, and the subsequent dismissal of that conviction by the state court,"
context broke it,623899-0,PLAIN,ca9,2012,UNRESOLVED,UNRESOLVED,whether Baylis exhausted his claims,"provided by 9th Cir. R. 36-3. ** The panel unanimously concludes this case is suitable for decision without oral argument. See Fed. R. App. P. 34(a)(2). counsel of his choosing. We have jurisdiction under 28 U.S.C. §§ 1291 and 2253, and we affirm. 1. We [[assume without deciding]] that Baylis exhausted his claims and that his arguments are not waived. See 28 U.S.C. § 2254(b)(2). 2. The state court’s decision to deny Baylis’ motion for substitution of counsel was neither contrary to nor involved an unreasonable application of clearly established federal law. See 28 U.S.C"
context broke it,6838739-0,H1,ca7,1928,UNRESOLVED,UNRESOLVED,"Whether those things amounted to invention, it is","eels were introduced to synchronize the movement of the posts 10. The adjustment in B, to permit the use of different sized can ends, is made by the use of slots in the separated ends of the divider appliance. Whether those things amounted to invention, it is [[not necessary to decide]] . The use of the serew posts was old before Hedstrom, and such use was familiar to him. We are of opinion that B is a mere improvement of A within the meaning of the assignment. It is not as wide a departure from A, as is the device described in the instrument of assignment as an improvement of A,"
context broke it,8961628-0,H1,cafc,1988,UNRESOLVED,UNRESOLVED,whether latter analysis,"ra note 1. For convenience, we refer only to Calco in this portion of the opinion. . The district court found literal infringement and infringement under the doctrine of equivalents. In view of our agreement with its findings of literal infringement, we [[need not reach]] that latter analysis. . Direct infringement is a prerequisite to finding induced infringement. See, e.g., Met-Coil Sys. Corp. v. Komers Unlimited, Inc., 803 F.2d 684, 687, 231 USPQ 474, 477 (Fed.Cir.1986). . Federal statutes provide very narrow grounds for relief from unfair competition"
context broke it,1019880-0,PLAIN,ca4,2006,UNRESOLVED,UNRESOLVED,whether qualified immunity discussed by the district court,"years before his termination) and suggested the K.-9 program in 2002 (one year before his termination). These events are simply too far removed from his termination to raise a genuine issue of material fact concerning causation. 5 . We therefore [[need not reach]] the issue of qualified immunity discussed by the district court. 6 . See Johnson v. Hugo’s Skateway, 974 F.2d 1408, 1416 n. 7 (4th Cir.1992) (a federal court is required to apply state law to pendent state claims brought with § 1983 claims). 7 . As the district court"
context broke it,774800-5,H1,ca3,1992,UNRESOLVED,UNRESOLVED,whether the deference that courts owe to fee scales negotiated by a properly-selected lead plaintiff would mandate deference to that plaintiffs decision to employ a rising-percentage fee scale in a pa,"case); 2001 Task Force Proceedings, Statement of Samuel Issacharoff, at 7, available at http://www.ca3.uscourts.gov/classcounsel/Wit-nessStatements/samissac.pdf (arguing that a decreasing percentage scale simply gives counsel an incentive to settle cheap). We [[need not decide]] at this time whether the deference that courts owe to fee scales negotiated by a properly-selected lead plaintiff would mandate deference to that plaintiffs decision to employ a rising-percentage fee scale in a particular case. 56 . In re Cendant Corp. PRIDES Litig., 243 F.3d 722"
context broke it,8882596-0,H2,ca2,1970,UNRESOLVED,UNRESOLVED,"whether the propriety of even these statements when made by someone in White’s position, but they clearly fall within the intent of Rule 10b-5 when they are buttressed by purportedly factual assertion","ution of unregistered shares on the basis of false and misleading assertions *80 and, more importantly, omissions of material adverse facts about the corporation. It may be one thing to say to a friend that a particular stock is a good speculation although we [[express no opinion]] on the propriety of even these statements when made by someone in White’s position, but they clearly fall within the intent of Rule 10b-5 when they are buttressed by purportedly factual assertions about the prospects of the company which are materially false and misleading in content or omission, t"
context broke it,9001894-2,H1,ca11,1992,UNRESOLVED,UNRESOLVED,whether the merits of any of Burrell’s claims,"ll be unavailable to those who do not raise it, see Moore v. Morgan, 922 F.2d 1553, 1557 (11th Cir.1991), we will not disturb the district court's determination that Goldstein and Baggarly met their burden of pleading in this case. .We emphasize that we [[express no opinion]] about the merits of any of Burrell’s claims. We merely review the district court's denial of qualified immunity. See infra notes 9 and 18. . It is not entirely clear from the record whether Baggarly would be authorized to rehire Bur-rell without obtaining the approval of First Federal's board"
context broke it,1388013-2,PLAIN,cafc,2009,UNRESOLVED,UNRESOLVED,whether the USPTO may impose a limit on the number of claims an applicant can pursue because we do not find that the ESD requirement creates any such limit,"allowed reasonable latitude in stating their claims in regard to number and phraseology employed. The right of applicants to freedom of choice in selecting phraseology which truly points out and defines their inventions should not be abridged.""). However, we [[need not decide]] whether the USPTO may impose a limit on the number of claims an applicant can pursue because we do not find that the ESD requirement creates any such limit. Rather, it simply requires that an ESD be submitted if more than five independent or twenty-five total claims are included in certain sets of"
context broke it,2975900-0,PLAIN,ca6,2007,UNRESOLVED,UNRESOLVED,"for present purposes, it suffices to say that the two cases do not require courts to allow juries to second guess those decisions or decide them in the first instance","the resolution of disputed facts upon which the voluntariness issue may depend.” Id. at 391. Whether Haynes and Jackson still allow a jury to consider factual issues bearing on constitutional questions after the judge has ruled on the question is a matter we [[need not decide]] ; for present purposes, it suffices to say that the two cases do not require courts to allow juries to second guess those decisions or decide them in the first instance. It is worth emphasizing the reach of Stuart’s rule: He is not saying that courts may present juries with factual questions bearin"
context broke it,1023355-0,H2,ca4,2007,UNRESOLVED,UNRESOLVED,"whether Arroyo-Benitez properly waived his right to have a grand jury amend the indictment, however, because Arroyo-Benitez at a minimum forfeited his Fifth Amendment claim by failing to object to the","“the grand jury right can be waived.” United States v. Cotton, 535 U.S. 625, 630, 122 S.Ct. 1781, 152 L.Ed.2d 860 (2002) (citing Fed. R.Crim. Proc. 7(b); Smith v. United States, 360 U.S. 1, 6, 79 S.Ct. 991, 3 L.Ed.2d 1041 (1959)). 1 We [[need not here decide]] whether Arroyo-Benitez properly waived his right to have a grand jury amend the indictment, however, because Arroyo-Benitez at a minimum forfeited his Fifth Amendment claim by failing to object to the amended indictment, and so must show plain error, which he fails to do. See United States v. Ol"
context broke it,934741-0,H1,ca10,2013,UNRESOLVED,UNRESOLVED,the issue because it is raised only in a footnote and was not raised in the district court,"unclear as to whether the marijuana included stems and stalks which should have been excluded from the net weight. See 21 U.S.C. § 802(16) (defining marijuana for purposes of the Controlled Substances Act as not including “the mature stalks” of the plant). We [[decline to address]] the issue because it is raised only in a footnote and was not raised in the district court. See United States v. Hardman, 297 F.3d 1116, 1131 (10th Cir. 2002) (en banc) (“Arguments raised in a perfunctory manner, such as in a footnote, are waived.”); see also United States v. Mora, 293 F.3d 1213, 1"
